id,id_gen,scenario,date,value
323,92,2,2025-01-13T07:00:00.0,185.4666
324,92,2,2025-01-13T08:00:00.0,283.4448
325,92,2,2025-01-13T09:00:00.0,349.3328
326,92,2,2025-01-13T10:00:00.0,398.7962
327,92,2,2025-01-13T11:00:00.0,432.1272
328,92,2,2025-01-13T12:00:00.0,446.2518
329,92,2,2025-01-13T13:00:00.0,415.4004
330,92,2,2025-01-13T14:00:00.0,361.7215
331,92,2,2025-01-13T15:00:00.0,278.0446
332,92,2,2025-01-13T16:00:00.0,180.7585
333,92,2,2025-01-13T17:00:00.0,74.7824
334,92,2,2025-01-13T18:00:00.0,6.8664
335,92,2,2025-01-13T19:00:00.0,0.0
336,92,2,2025-01-13T20:00:00.0,0.0
337,92,2,2025-01-13T21:00:00.0,0.0
338,92,2,2025-01-13T22:00:00.0,0.0
339,92,2,2025-01-13T23:00:00.0,0.0
340,92,3,2025-01-07T00:00:00.0,0.0
341,92,3,2025-01-07T01:00:00.0,0.0
342,92,3,2025-01-07T02:00:00.0,0.0
343,92,3,2025-01-07T03:00:00.0,0.0
344,92,3,2025-01-07T04:00:00.0,0.0
345,92,3,2025-01-07T05:00:00.0,4.394
346,92,3,2025-01-07T06:00:00.0,43.6261
347,92,3,2025-01-07T07:00:00.0,101.2659
348,92,3,2025-01-07T08:00:00.0,166.8969
349,92,3,2025-01-07T09:00:00.0,231.3839
350,92,3,2025-01-07T10:00:00.0,280.7714
351,92,3,2025-01-07T11:00:00.0,315.1483
352,92,3,2025-01-07T12:00:00.0,321.3397
353,92,3,2025-01-07T13:00:00.0,288.9948
354,92,3,2025-01-07T14:00:00.0,272.9449
355,92,3,2025-01-07T15:00:00.0,225.7568
356,92,3,2025-01-07T16:00:00.0,157.6217
357,92,3,2025-01-07T17:00:00.0,69.5335
358,92,3,2025-01-07T18:00:00.0,6.6244
359,92,3,2025-01-07T19:00:00.0,0.0
360,92,3,2025-01-07T20:00:00.0,0.0
361,92,3,2025-01-07T21:00:00.0,0.0
362,92,3,2025-01-07T22:00:00.0,0.0
363,92,3,2025-01-07T23:00:00.0,0.0
364,92,3,2025-01-08T00:00:00.0,0.0
365,92,3,2025-01-08T01:00:00.0,0.0
366,92,3,2025-01-08T02:00:00.0,0.0
367,92,3,2025-01-08T03:00:00.0,0.0
368,92,3,2025-01-08T04:00:00.0,0.0
369,92,3,2025-01-08T05:00:00.0,7.4187
370,92,3,2025-01-08T06:00:00.0,64.8395
371,92,3,2025-01-08T07:00:00.0,134.3582
372,92,3,2025-01-08T08:00:00.0,199.5668
373,92,3,2025-01-08T09:00:00.0,244.0598
